Episode 0, Reward: 0.04666665568947792, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 1, Reward: 0.01833333447575569, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 2, Reward: 0.04833332076668739, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 3, Reward: 0.03833333030343056, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 4, Reward: 0.056666646152734756, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 5, Reward: 0.06499997526407242, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 6, Reward: 0.03166666999459267, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 7, Reward: 0.03333333507180214, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 8, Reward: 0.02500000223517418, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 9, Reward: 0.06499997526407242, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 10, Reward: 0.0599999763071537, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 11, Reward: 0.03333333507180214, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 12, Reward: 0.049999985843896866, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 13, Reward: 0.02500000223517418, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 14, Reward: 0.056666646152734756, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 15, Reward: 0.04499999061226845, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 16, Reward: 0.0266666691750288, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 17, Reward: 0.07333330065011978, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 18, Reward: 0.04666665568947792, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 19, Reward: 0.03833333030343056, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 20, Reward: 0.028333336114883423, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 21, Reward: 0.0266666691750288, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 22, Reward: 0.021666668355464935, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 23, Reward: 0.04499999061226845, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 24, Reward: 0.02500000223517418, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 25, Reward: 0.01833333447575569, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 26, Reward: 0.03500000014901161, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 27, Reward: 0.028333336114883423, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 28, Reward: 0.03500000014901161, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 29, Reward: 0.03500000014901161, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 30, Reward: 0.028333336114883423, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 31, Reward: 0.023333335295319557, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 32, Reward: 0.036666665226221085, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 33, Reward: 0.02500000223517418, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 34, Reward: 0.03833333030343056, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 35, Reward: 0.03333333507180214, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 36, Reward: 0.03166666999459267, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 37, Reward: 0.07333330065011978, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 38, Reward: 0.08333329111337662, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 39, Reward: 0.10333327203989029, Avg Critic Loss: 0.0379, Avg Actor Loss: -0.4003, Avg Alpha Loss: -0.6250
Episode 40, Reward: 0.07166663557291031, Avg Critic Loss: 0.0060, Avg Actor Loss: -0.5821, Avg Alpha Loss: -0.6408
Episode 41, Reward: 0.04833332076668739, Avg Critic Loss: 0.0088, Avg Actor Loss: -0.6718, Avg Alpha Loss: -0.6433
Episode 42, Reward: 0.0266666691750288, Avg Critic Loss: 0.0101, Avg Actor Loss: -0.7158, Avg Alpha Loss: -0.6449
Episode 43, Reward: 0.030000003054738045, Avg Critic Loss: 0.0125, Avg Actor Loss: -0.7463, Avg Alpha Loss: -0.6460
Episode 44, Reward: 0.03333333507180214, Avg Critic Loss: 0.0130, Avg Actor Loss: -0.7821, Avg Alpha Loss: -0.6473
Episode 45, Reward: 0.05833331122994423, Avg Critic Loss: 0.0154, Avg Actor Loss: -0.8247, Avg Alpha Loss: -0.6491
Episode 46, Reward: 0.043333325535058975, Avg Critic Loss: 0.0163, Avg Actor Loss: -0.8718, Avg Alpha Loss: -0.6512
Episode 47, Reward: 0.04666665568947792, Avg Critic Loss: 0.0150, Avg Actor Loss: -0.9120, Avg Alpha Loss: -0.6530
Episode 48, Reward: 0.036666665226221085, Avg Critic Loss: 0.0136, Avg Actor Loss: -0.9489, Avg Alpha Loss: -0.6547
Episode 49, Reward: 0.023333335295319557, Avg Critic Loss: 0.0128, Avg Actor Loss: -0.9718, Avg Alpha Loss: -0.6560
Episode 50, Reward: 0.04833332076668739, Avg Critic Loss: 0.0123, Avg Actor Loss: -0.9930, Avg Alpha Loss: -0.6574
Episode 51, Reward: 0.08333329111337662, Avg Critic Loss: 0.0084, Avg Actor Loss: -1.0506, Avg Alpha Loss: -0.6601
Episode 52, Reward: 0.08499995619058609, Avg Critic Loss: 0.0060, Avg Actor Loss: -1.1207, Avg Alpha Loss: -0.6635
Episode 53, Reward: 0.03166666999459267, Avg Critic Loss: 0.0044, Avg Actor Loss: -1.1723, Avg Alpha Loss: -0.6659
Episode 54, Reward: 0.0266666691750288, Avg Critic Loss: 0.0045, Avg Actor Loss: -1.1968, Avg Alpha Loss: -0.6672
Episode 55, Reward: 0.03833333030343056, Avg Critic Loss: 0.0042, Avg Actor Loss: -1.2215, Avg Alpha Loss: -0.6685
Episode 56, Reward: 0.036666665226221085, Avg Critic Loss: 0.0031, Avg Actor Loss: -1.2591, Avg Alpha Loss: -0.6701
Episode 57, Reward: 0.0599999763071537, Avg Critic Loss: 0.0021, Avg Actor Loss: -1.3088, Avg Alpha Loss: -0.6721
Episode 58, Reward: 0.0266666691750288, Avg Critic Loss: 0.0021, Avg Actor Loss: -1.3454, Avg Alpha Loss: -0.6740
Episode 59, Reward: 0.036666665226221085, Avg Critic Loss: 0.0020, Avg Actor Loss: -1.3760, Avg Alpha Loss: -0.6753
Episode 60, Reward: 0.03833333030343056, Avg Critic Loss: 0.0026, Avg Actor Loss: -1.4081, Avg Alpha Loss: -0.6769
Episode 61, Reward: 0.02500000223517418, Avg Critic Loss: 0.0021, Avg Actor Loss: -1.4314, Avg Alpha Loss: -0.6782
Episode 62, Reward: 0.028333336114883423, Avg Critic Loss: 0.0032, Avg Actor Loss: -1.4535, Avg Alpha Loss: -0.6793
Episode 63, Reward: 0.043333325535058975, Avg Critic Loss: 0.0027, Avg Actor Loss: -1.4852, Avg Alpha Loss: -0.6809
Episode 64, Reward: 0.03333333507180214, Avg Critic Loss: 0.0030, Avg Actor Loss: -1.5180, Avg Alpha Loss: -0.6825
Episode 65, Reward: 0.04499999061226845, Avg Critic Loss: 0.0038, Avg Actor Loss: -1.5501, Avg Alpha Loss: -0.6841
Episode 66, Reward: 0.01833333447575569, Avg Critic Loss: 0.0052, Avg Actor Loss: -1.5819, Avg Alpha Loss: -0.6855
Episode 67, Reward: 0.049999985843896866, Avg Critic Loss: 0.0044, Avg Actor Loss: -1.6104, Avg Alpha Loss: -0.6869
Episode 68, Reward: 0.043333325535058975, Avg Critic Loss: 0.0040, Avg Actor Loss: -1.6451, Avg Alpha Loss: -0.6889
Episode 69, Reward: 0.030000003054738045, Avg Critic Loss: 0.0033, Avg Actor Loss: -1.6843, Avg Alpha Loss: -0.6905
Episode 70, Reward: 0.0416666604578495, Avg Critic Loss: 0.0030, Avg Actor Loss: -1.7207, Avg Alpha Loss: -0.6920
Episode 71, Reward: 0.021666668355464935, Avg Critic Loss: 0.0036, Avg Actor Loss: -1.7345, Avg Alpha Loss: -0.6933
Episode 72, Reward: 0.036666665226221085, Avg Critic Loss: 0.0042, Avg Actor Loss: -1.7662, Avg Alpha Loss: -0.6945
Episode 73, Reward: 0.036666665226221085, Avg Critic Loss: 0.0041, Avg Actor Loss: -1.7932, Avg Alpha Loss: -0.6960
Episode 74, Reward: 0.03333333507180214, Avg Critic Loss: 0.0032, Avg Actor Loss: -1.8251, Avg Alpha Loss: -0.6976
Episode 75, Reward: 0.03500000014901161, Avg Critic Loss: 0.0029, Avg Actor Loss: -1.8523, Avg Alpha Loss: -0.6991
Episode 76, Reward: 0.03333333507180214, Avg Critic Loss: 0.0026, Avg Actor Loss: -1.8882, Avg Alpha Loss: -0.7005
Episode 77, Reward: 0.043333325535058975, Avg Critic Loss: 0.0030, Avg Actor Loss: -1.9184, Avg Alpha Loss: -0.7021
Episode 78, Reward: 0.07499996572732925, Avg Critic Loss: 0.0032, Avg Actor Loss: -1.9676, Avg Alpha Loss: -0.7046
Episode 79, Reward: 0.10333327203989029, Avg Critic Loss: 0.0034, Avg Actor Loss: -2.0486, Avg Alpha Loss: -0.7081
Episode 80, Reward: 0.0266666691750288, Avg Critic Loss: 0.0043, Avg Actor Loss: -2.0995, Avg Alpha Loss: -0.7108
Episode 81, Reward: 0.05833331122994423, Avg Critic Loss: 0.0051, Avg Actor Loss: -2.1357, Avg Alpha Loss: -0.7124
Episode 82, Reward: 0.06499997526407242, Avg Critic Loss: 0.0050, Avg Actor Loss: -2.1902, Avg Alpha Loss: -0.7149
Episode 83, Reward: 0.05166665092110634, Avg Critic Loss: 0.0042, Avg Actor Loss: -2.2396, Avg Alpha Loss: -0.7172
Episode 84, Reward: 0.04499999061226845, Avg Critic Loss: 0.0037, Avg Actor Loss: -2.2885, Avg Alpha Loss: -0.7191
Episode 85, Reward: 0.04499999061226845, Avg Critic Loss: 0.0041, Avg Actor Loss: -2.3232, Avg Alpha Loss: -0.7209
Episode 86, Reward: 0.03166666999459267, Avg Critic Loss: 0.0066, Avg Actor Loss: -2.3507, Avg Alpha Loss: -0.7224
Episode 87, Reward: 0.056666646152734756, Avg Critic Loss: 0.0062, Avg Actor Loss: -2.3877, Avg Alpha Loss: -0.7241
Episode 88, Reward: 0.05333331599831581, Avg Critic Loss: 0.0053, Avg Actor Loss: -2.4392, Avg Alpha Loss: -0.7261
Episode 89, Reward: 0.036666665226221085, Avg Critic Loss: 0.0040, Avg Actor Loss: -2.4769, Avg Alpha Loss: -0.7279
Episode 90, Reward: 0.05833331122994423, Avg Critic Loss: 0.0045, Avg Actor Loss: -2.5188, Avg Alpha Loss: -0.7295
Episode 91, Reward: 0.06999997049570084, Avg Critic Loss: 0.0053, Avg Actor Loss: -2.5791, Avg Alpha Loss: -0.7315
Episode 92, Reward: 0.021666668355464935, Avg Critic Loss: 0.0052, Avg Actor Loss: -2.6109, Avg Alpha Loss: -0.7333
Episode 93, Reward: 0.06833330541849136, Avg Critic Loss: 0.0065, Avg Actor Loss: -2.6430, Avg Alpha Loss: -0.7346
